Name,Handedness,Height (inches),Height (m),Weight (pounds),Weight (kg),Batting Average,Home Runs,BMI,Rounded BMI,BMI Category,Average Home Runs
Reggie Smith,B,72,1.8288,180,81.64656,0.287,314,24.41211827,24,Normal,0
Roy Smalley,B,73,1.8542,185,83.91452,0.257,163,24.40753727,24,Normal,0
Tom Tresh,B,73,1.8542,180,81.64656,0.245,153,23.7478741,24,Normal,0
Donn Clendenon,R,76,1.9304,209,94.800728,0.274,159,25.43999693,25,Overweight,234.375
Tony Armas,R,71,1.8034,182,82.553744,0.252,251,25.38356658,25,Overweight,0
Bill Freehan,R,75,1.905,203,92.079176,0.262,200,25.37297924,25,Overweight,0
Hal McRae,R,71,1.8034,180,81.64656,0.29,191,25.10462629,25,Overweight,0
Bill Madlock,R,71,1.8034,180,81.64656,0.305,163,25.10462629,25,Overweight,0
Davey Lopes,R,69,1.7526,170,77.11064,0.263,155,25.10433334,25,Overweight,0
Don Baylor,R,73,1.8542,190,86.18248,0.26,338,25.06720044,25,Overweight,0
Bobby Bonds,R,73,1.8542,190,86.18248,0.268,332,25.06720044,25,Overweight,0
Jim Fregosi,R,73,1.8542,190,86.18248,0.265,151,25.06720044,25,Overweight,0
Mike Schmidt,R,74,1.8796,195,88.45044,0.267,548,25.03624109,25,Overweight,0
Andre Thornton,R,75,1.905,200,90.7184,0.254,253,24.99800911,25,Normal,0
Rico Carty,R,75,1.905,200,90.7184,0.299,204,24.99800911,25,Normal,0
Larry Hisle,R,74,1.8796,193,87.543256,0.273,166,24.77945913,25,Normal,0
Bill Buckner,L,72,1.8288,185,83.91452,0.289,174,25.09023267,25,Overweight,0
Joe Morgan,L,67,1.7018,160,72.57472,0.271,268,25.05926509,25,Overweight,0
Dick McAuliffe,L,71,1.8034,176,79.832192,0.247,197,24.5467457,25,Normal,0
Sal Bando,R,72,1.8288,195,88.45044,0.254,242,26.44646146,26,Overweight,251.6538462
Jeff Burroughs,R,73,1.8542,200,90.7184,0.261,240,26.38652678,26,Overweight,0
Richie Zisk,R,73,1.8542,200,90.7184,0.287,207,26.38652678,26,Overweight,0
Cliff Johnson,R,76,1.9304,215,97.52228,0.258,196,26.17033177,26,Overweight,0
Dick Allen,R,71,1.8034,187,84.821704,0.292,351,26.08091731,26,Overweight,0
Johnny Bench,R,73,1.8542,197,89.357624,0.267,389,25.99072888,26,Overweight,0
Jim Ray Hart,R,71,1.8034,185,83.91452,0.278,170,25.80197702,26,Overweight,0
Ron Santo,R,72,1.8288,190,86.18248,0.277,342,25.76834706,26,Overweight,0
Chet Lemon,R,72,1.8288,190,86.18248,0.273,215,25.76834706,26,Overweight,0
Gene Tenace,R,72,1.8288,190,86.18248,0.241,201,25.76834706,26,Overweight,0
Bob Horner,R,73,1.8542,195,88.45044,0.277,218,25.72686361,26,Overweight,0
Jim Rice,R,74,1.8796,200,90.7184,0.298,382,25.67819599,26,Overweight,0
George Scott,R,74,1.8796,200,90.7184,0.268,271,25.67819599,26,Overweight,0
Deron Johnson,R,74,1.8796,200,90.7184,0.244,245,25.67819599,26,Overweight,0
Joe Rudi,R,74,1.8796,200,90.7184,0.264,179,25.67819599,26,Overweight,0
Bill Melton,R,74,1.8796,200,90.7184,0.253,160,25.67819599,26,Overweight,0
Reggie Jackson,L,72,1.8288,195,88.45044,0.262,563,26.44646146,26,Overweight,0
Al Oliver,L,72,1.8288,195,88.45044,0.303,219,26.44646146,26,Overweight,0
Darrell Porter,L,72,1.8288,193,87.543256,0.247,188,26.1752157,26,Overweight,0
Dan Driessen,L,71,1.8034,187,84.821704,0.267,153,26.08091731,26,Overweight,0
Claudell Washington,L,72,1.8288,190,86.18248,0.278,164,25.76834706,26,Overweight,0
Richie Hebner,L,73,1.8542,195,88.45044,0.276,203,25.72686361,26,Overweight,0
Chris Chambliss,L,73,1.8542,195,88.45044,0.279,185,25.72686361,26,Overweight,0
Darrell Evans,L,74,1.8796,200,90.7184,0.248,414,25.67819599,26,Overweight,0
Don Mincher,L,75,1.905,205,92.98636,0.249,200,25.62295933,26,Overweight,0
Ken Singleton,B,76,1.9304,210,95.25432,0.282,246,25.56171941,26,Overweight,0
Bob Watson,R,72,1.8288,201,91.171992,0.295,184,27.26019873,27,Overweight,229.75
Joe Torre,R,74,1.8796,212,96.161504,0.297,252,27.21888775,27,Overweight,0
Gorman Thomas,R,74,1.8796,210,95.25432,0.225,268,26.96210579,27,Overweight,0
Doug Rader,R,74,1.8796,208,94.347136,0.251,155,26.70532383,27,Overweight,0
Ron Cey,R,70,1.778,185,83.91452,0.261,316,26.54444207,27,Overweight,0
John Mayberry,L,75,1.905,215,97.52228,0.253,255,26.87285979,27,Overweight,0
Ted Simmons,B,71,1.8034,193,87.543256,0.285,248,26.91773818,27,Overweight,0
Pete Rose,B,71,1.8034,192,87.089664,0.303,160,26.77826804,27,Overweight,0
Steve Garvey,R,70,1.778,192,87.089664,0.294,272,27.54882636,28,Overweight,305.5
Boog Powell,L,76,1.9304,230,104.32616,0.266,339,27.99616887,28,Overweight,0
Willie Horton,R,71,1.8034,209,94.800728,0.273,325,29.14926052,29,Overweight,316
Greg Luzinski,R,73,1.8542,220,99.79024,0.276,307,29.02517946,29,Overweight,0
